config_name,train_seed,group,checkpoint_step,mean_success_rate,mean_avg_return,mean_first_success_step,n_runs,mean_success_rate_smooth,mean_avg_return_smooth,mean_first_success_step_smooth
config_A,11,test,1900000,0.6,564.5870054249137,74.78333333333333,5,0.6,564.5870054249137,74.78333333333333
config_A,11,test,1950000,0.6799999999999999,573.5086587989576,100.77916666666667,5,0.6799999999999999,573.5086587989576,100.77916666666667
config_A,11,test,2000000,0.68,505.2312839254415,87.375,5,0.68,505.2312839254415,87.375
config_A,11,test,2050000,0.6,579.6044376451536,94.875,5,0.6,579.6044376451536,94.875
config_A,11,test,2100000,0.5599999999999999,641.2803181707029,83.3125,5,0.5599999999999999,641.2803181707029,83.3125
config_A,11,test,2150000,0.6,573.2656359452317,72.55,5,0.6,573.2656359452317,72.55
config_A,11,test,2200000,0.6,448.0102331678985,80.54166666666667,5,0.6,448.0102331678985,80.54166666666667
config_A,11,test,2250000,0.68,503.61047113782905,82.9625,5,0.68,503.61047113782905,82.9625
config_A,11,test,2300000,0.5599999999999999,684.5717576200193,73.65,5,0.5599999999999999,684.5717576200193,73.65
config_A,11,test,2350000,0.5599999999999999,652.1325293388603,74.85,5,0.5599999999999999,652.1325293388603,74.85
config_A,11,test,2400000,0.72,373.3263746505422,79.7125,5,0.72,373.3263746505422,79.7125
config_A,11,test,2450000,0.5599999999999999,505.693267764515,68.06666666666666,5,0.5599999999999999,505.693267764515,68.06666666666666
config_A,11,test,2500000,0.6799999999999999,566.0307747495096,90.35,5,0.6799999999999999,566.0307747495096,90.35
config_A,11,train,50000,0.0,17.93136470747103,,5,0.0,17.93136470747103,
config_A,11,train,100000,0.0,23.938098173347395,,5,0.0,23.938098173347395,
config_A,11,train,150000,0.0,36.47700227047733,,5,0.0,36.47700227047733,
config_A,11,train,200000,0.0,52.41550928298018,,5,0.0,52.41550928298018,
config_A,11,train,250000,0.0,42.56123600890475,,5,0.0,42.56123600890475,
config_A,11,train,300000,0.0,37.37661563853002,,5,0.0,37.37661563853002,
config_A,11,train,350000,0.0,47.26211551326073,,5,0.0,47.26211551326073,
config_A,11,train,400000,0.0,50.02611440529961,,5,0.0,50.02611440529961,
config_A,11,train,450000,0.0,65.60800052586049,,5,0.0,65.60800052586049,
config_A,11,train,500000,0.0,107.93394666278668,,5,0.0,107.93394666278668,
config_A,11,train,550000,0.0,61.60787900564503,,5,0.0,61.60787900564503,
config_A,11,train,600000,0.0,72.12840150127168,,5,0.0,72.12840150127168,
config_A,11,train,650000,0.0,97.6075625472719,,5,0.0,97.6075625472719,
config_A,11,train,700000,0.0,101.95138648731407,,5,0.0,101.95138648731407,
config_A,11,train,750000,0.0,128.2489543657709,,5,0.0,128.2489543657709,
config_A,11,train,800000,0.0,168.0572333599736,,5,0.0,168.0572333599736,
config_A,11,train,850000,0.0,169.1393079228303,,5,0.0,169.1393079228303,
config_A,11,train,900000,0.0,96.63478268047406,,5,0.0,96.63478268047406,
config_A,11,train,950000,0.0,101.04241961839973,,5,0.0,101.04241961839973,
