config_name,checkpoint_step,mean_test_success_rate,mean_test_avg_return,mean_first_success_step,n
config_D,1930000,0.76,265.82443522081394,53.2,5
config_D,1680000,0.76,264.23594058662906,47.25,5
config_D,1460000,0.76,262.29405464125466,49.5,5
config_D,1670000,0.76,258.6975944283277,48.3875,5
config_D,2010000,0.76,217.92112354605564,52.266666666666666,5
config_A,2340000,0.76,215.79814744202184,77.53999999999999,5
config_D,1790000,0.76,196.73280165533544,50.239999999999995,5
config_D,1040000,0.76,161.59229866216603,60.425,5
config_A,2460000,0.76,153.7119142695356,57.620000000000005,5
config_D,2110000,0.76,153.55110487692681,50.63666666666667,5
config_D,1140000,0.76,149.21630036370897,59.370000000000005,5
config_D,1990000,0.76,137.26837200865236,51.54,5
config_D,1050000,0.76,134.21318667503192,60.239999999999995,5
config_D,2020000,0.76,129.13321178952359,52.23,5
config_D,2000000,0.76,128.4852627554175,55.08,5
config_A,2280000,0.76,125.15194196861789,51.825,5
config_A,2300000,0.76,120.87710370128718,57.61333333333333,5
config_A,1580000,0.76,107.072103728477,53.525,5
config_D,1060000,0.76,98.52116310397724,56.6625,5
config_D,1090000,0.76,96.12492204807214,56.6625,5
config_A,2230000,0.76,86.78031344895444,59.970000000000006,5
config_D,1110000,0.76,63.61069505776078,61.725,5
config_D,2190000,0.76,52.635096706803,46.70666666666666,5
config_B,1040000,0.72,698.8852968858688,150.70666666666665,5
config_B,1060000,0.72,568.6005760382938,127.7,5
config_D,1840000,0.72,390.0069491060519,51.075,5
config_D,1020000,0.72,350.0661798654472,83.8,5
config_B,1160000,0.72,329.6380769638386,120.38666666666666,5
config_D,1560000,0.72,315.69914573468395,48.5625,5
config_D,1510000,0.72,306.4263026642685,49.875,5
config_D,2100000,0.72,281.26338779511036,66.84333333333333,5
config_D,1260000,0.72,278.1550085962056,54.2,5
config_D,1200000,0.72,276.1600419675956,53.4625,5
config_D,1190000,0.72,274.60434136372413,53.625,5
config_D,1320000,0.72,270.31692438943185,55.86666666666666,5
config_D,1780000,0.72,264.69549872035424,49.376666666666665,5
config_D,1630000,0.72,264.1992272782821,50.57333333333333,5
config_D,2070000,0.72,261.80666452081647,50.31666666666667,5
config_B,1150000,0.72,259.54602588486557,146.02,5
config_D,1660000,0.72,248.54572789025656,46.95,5
config_D,2040000,0.72,248.07874213249065,48.85999999999999,5
config_D,1570000,0.72,246.33729305874235,47.325,5
config_D,2030000,0.72,232.47628332213986,51.03,5
config_D,1960000,0.72,223.40790863776957,52.41666666666667,5
config_D,1250000,0.72,221.63759491021278,53.65,5
config_A,2400000,0.72,202.5064909805671,50.96666666666667,5
config_D,1810000,0.72,200.83510361384322,47.53,5
config_D,1750000,0.72,193.23005566011724,51.626666666666665,5
config_D,1030000,0.72,190.80557765342877,70.0,5
config_D,1690000,0.72,187.15769310270116,48.333333333333336,5
config_D,1720000,0.72,186.0407248425497,60.279999999999994,5
config_A,1600000,0.72,180.32720572848294,51.28333333333333,5
config_D,1390000,0.72,173.2060007822438,57.36,5
config_A,2180000,0.72,169.37213068839077,55.82000000000001,5
config_D,1770000,0.72,166.36103176431808,53.64333333333333,5
config_D,1740000,0.72,162.55646542955898,46.416666666666664,5
config_A,2130000,0.72,161.2681818730311,55.15333333333333,5
config_D,1730000,0.72,158.91166337294848,46.21666666666667,5
config_D,1180000,0.72,149.3479900373875,53.4375,5
config_D,1830000,0.72,140.57559263893475,49.230000000000004,5
config_A,2270000,0.72,131.95212307443998,61.506666666666675,5
config_A,2390000,0.72,125.22045695408067,67.53333333333333,5
config_A,2100000,0.72,122.82130386915408,53.49666666666667,5
config_A,2210000,0.72,120.35244643104511,59.84333333333333,5
config_A,2090000,0.72,120.02883112045402,70.38,5
config_A,2200000,0.72,119.59350139767321,59.986666666666665,5
config_A,2360000,0.72,118.64713165706632,50.56666666666666,5
config_A,2380000,0.72,116.77748956689466,51.1,5
config_A,2160000,0.72,115.18864073551654,55.126666666666665,5
config_A,2490000,0.72,113.9209360128505,55.8,5
config_A,2330000,0.72,113.12163966432554,64.56,5
config_A,2500000,0.72,111.99465210220573,64.36,5
config_A,1590000,0.72,111.0106234664105,52.35,5
config_A,1610000,0.72,110.72898090631732,52.45,5
config_A,2320000,0.72,108.7586344202058,65.24,5
config_A,1630000,0.72,103.85368174753212,68.77000000000001,5
config_A,1620000,0.72,100.39984099625386,51.516666666666666,5
config_D,1070000,0.72,99.3798871972828,55.7125,5
config_D,2430000,0.72,94.13383062258973,47.70666666666666,5
config_D,1120000,0.72,92.64306846092202,53.400000000000006,5
config_D,1100000,0.72,87.3042910522747,53.583333333333336,5
config_A,2190000,0.72,65.33735519499795,61.10666666666666,5
config_A,2450000,0.72,55.892200419369416,54.3,5
config_B,1030000,0.68,665.1580706930895,89.63,5
config_D,1860000,0.68,403.7776874412465,48.2875,5
config_D,1490000,0.68,299.0577419903446,48.0125,5
config_D,1610000,0.68,206.70637109647583,49.586666666666666,5
config_A,2030000,0.68,155.530216747018,60.75,5
config_D,1410000,0.68,151.33672388844124,55.75,5
config_A,2250000,0.68,144.3180198247897,56.120000000000005,5
config_D,1800000,0.68,137.6747410998919,48.88666666666667,5
config_D,1400000,0.68,102.23432737187488,51.7125,5
config_A,1490000,0.68,47.12623630185719,88.3,5
config_B,1050000,0.6799999999999999,556.7365790103338,129.15,5
config_D,1710000,0.6799999999999999,335.9248968752196,46.30833333333334,5
config_D,1500000,0.6799999999999999,300.7913780375973,48.108333333333334,5
config_D,1360000,0.6799999999999999,276.3793530070727,53.9625,5
config_A,2410000,0.6799999999999999,275.24466405706943,50.225,5
config_D,2080000,0.6799999999999999,273.51011654832297,49.016666666666666,5
config_D,2050000,0.6799999999999999,245.5935815738792,49.656666666666666,5
config_D,1470000,0.6799999999999999,205.1786143786454,48.78333333333333,5
config_A,2420000,0.6799999999999999,194.7202967698344,70.25333333333333,5
config_D,1640000,0.6799999999999999,179.967259423061,44.99166666666667,5
config_A,2150000,0.6799999999999999,171.2174427726621,54.17999999999999,5
config_A,2140000,0.6799999999999999,161.0805069228905,53.506666666666675,5
config_A,2430000,0.6799999999999999,148.26655840522182,73.29333333333334,5
config_A,2290000,0.6799999999999999,126.3796111877306,51.57083333333333,5
config_A,2310000,0.6799999999999999,116.64960570585852,49.95,5
config_A,2350000,0.6799999999999999,113.55753313339366,50.858333333333334,5
config_A,2370000,0.6799999999999999,111.98261009423307,79.49,5
config_A,2120000,0.6799999999999999,107.9112716678407,53.620000000000005,5
config_A,2110000,0.6799999999999999,107.69203257928375,53.29,5
config_D,1130000,0.6799999999999999,87.71441104358988,53.329166666666666,5
config_A,2470000,0.6799999999999999,66.61995019479255,54.92999999999999,5
config_A,2480000,0.6799999999999999,48.23901577514986,74.72666666666666,5
config_B,1000000,0.64,917.2898093178397,163.85,5
config_B,1110000,0.64,576.2135638389848,127.06666666666665,5
config_D,1890000,0.64,424.83963371317293,54.67916666666666,5
config_D,1920000,0.64,347.04403681902136,52.7,5
config_D,1900000,0.64,326.27588235059255,49.7,5
config_D,1550000,0.64,301.2859810118626,46.8125,5
config_D,1270000,0.64,278.4934581348046,65.375,5
config_D,1950000,0.64,277.2064547558399,51.4,5
config_D,1340000,0.64,269.81290233015864,56.25,5
config_D,1290000,0.64,260.7471694024813,84.57083333333333,5
config_D,1700000,0.64,258.55474497511256,46.36666666666666,5
config_D,2060000,0.64,257.88353941775034,49.446666666666665,5
config_D,1480000,0.64,254.75650219236485,49.68333333333334,5
config_D,1870000,0.64,241.07924899414473,47.80833333333334,5
config_D,1370000,0.64,240.41086121954285,54.599999999999994,5
config_D,1650000,0.64,235.22775141980324,44.59166666666667,5
config_D,1760000,0.64,207.00293315756306,59.336666666666666,5
config_D,1420000,0.64,206.99654607229346,52.55,5
config_D,1430000,0.64,192.99135084744222,53.8875,5
config_D,1820000,0.64,192.75941188569283,44.849999999999994,5
config_D,1170000,0.64,187.6566916205705,51.8,5
config_A,2010000,0.64,171.13828643632056,57.25,5
config_A,2040000,0.64,150.3924843701619,51.9125,5
config_A,2440000,0.64,144.80188472515061,56.9,5
config_D,1380000,0.64,128.50070675023983,53.2,5
config_D,1330000,0.64,126.01613824289066,53.725,5
config_A,2050000,0.64,117.27691456847882,58.69,5
config_A,2060000,0.64,116.90994627718278,57.529999999999994,5
