config_name,config_A,config_A,config_B,config_B,config_C,config_C,config_D,config_D,config_E,config_E
group,test,train,test,train,test,train,test,train,test,train
checkpoint_step,,,,,,,,,,
285000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9866666666666667
300000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9955555555555555
305000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667
310000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199999999999999,0.9777777777777779
315000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9777777777777779
320000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9733333333333334
325000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9733333333333334
330000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9733333333333334
335000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199999999999999,0.9644444444444444
340000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334
345000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9688888888888888
350000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199999999999999,0.9644444444444444
355000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199999999999999,0.9644444444444444
360000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9688888888888888
365000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334
370000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779
375000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9822222222222223
380000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9822222222222223
385000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334
390000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334
395000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9688888888888888
400000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334
405000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955555555555555
410000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666667
415000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334
420000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199999999999999,0.9733333333333334
425000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9822222222222223
430000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779
